"id","first_name","last_name","email","password","salt","is_deleted","role","phone_number","dashboard_access","created_date_time","updated_date_time","created_by","updated_by","employee_id","verification_status","otp","otp_time_out","business_unit"
FCDF9AA1-E468-465B-A8AB-57198BE3DF87,ABE,Yogesh,kume@gmail.com,$2b$10$KcT31XbRhGMcFH6RZzVAOO4bGaZChVoG3SW0Ypr.bT2IiRHO4.382,$2b$10$KcT31XbRhGMcFH6RZzVAOO,0,abu_eng,,0,"2023-07-26 13:21:46.000 +0000","2023-07-26 13:33:59.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","123",approved,,,4
C7647735-304C-4005-8556-5F7A26C240B3,Jay1,Kumar,jay@gmail.com,$2b$10$OHqs/jE2Ci6QlV2Om6At7Ox67fD2p91IqlQ04gZHEw86LEeon7Uea,$2b$10$OHqs/jE2Ci6QlV2Om6At7O,0,le_dh,,0,"2023-06-30 06:44:31.000 +0000","2023-07-27 04:54:51.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",AEL-GM-1234,approved,,,3
B5EEFBDE-8512-4323-8A25-675805D16078,Yogesh,Kumar,yogesh@gmail.com,$2b$10$1Vb1Oimf6bcG87BTc2/eieJ8YN..N7dCQivpe9cddwLIKOaZGLhQm,$2b$10$1Vb1Oimf6bcG87BTc2/eie,0,le_m,,0,"2023-06-27 09:21:23.000 +0000","2023-06-30 06:43:04.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",AEL-GM-1234,approved,,,
BD84BE7C-8E19-48FB-9119-6B2E5B7E403E,Yogesh,Kumar,jo1n@gmail.com,$2b$10$2FBYIR0TUlIRwcCyc6XBwOoRblpQEQD0S6dpVPM3GRNVn69CQmSNu,$2b$10$2FBYIR0TUlIRwcCyc6XBwO,1,abu_spoc,,0,"2023-07-26 10:15:57.000 +0000","2023-07-26 10:16:14.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","12",approved,,,2
"4BB20873-66D1-4B21-8F6F-7223A0333405",Yogesh,Kumar,yogesh@gmail.com,$2b$10$oU.Ao0JEpbHG4Js7UK79pObiOTVbg5aG7jeVEgOmvrhdnimmPvIgu,$2b$10$oU.Ao0JEpbHG4Js7UK79pO,1,le_spoc,,0,"2023-06-26 11:07:33.000 +0000","2023-06-26 11:12:09.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",sd,approved,,,
EED72491-772C-4526-84B0-7B609DC554EA,Monish,Kumar,sd@gmail.com,$2b$10$WpTUBej0YJ7Ogg0CMmKdWezFN1Hr/mDkVSQe0beTSrvKnhuKkxh.a,$2b$10$WpTUBej0YJ7Ogg0CMmKdWe,1,,,0,"2023-06-22 13:47:20.000 +0000","2023-06-22 13:47:59.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","5465556",pending,,,
BEE3A2AC-6573-4FF2-9771-7DC396B3936F,Jon,Doe,jon@gmail.com,$2b$10$KcT31XbRhGMcFH6RZzVAOO4bGaZChVoG3SW0Ypr.bT2IiRHO4.382,$2b$10$KcT31XbRhGMcFH6RZzVAOO,0,abu_spoc,,1,,"2023-07-26 13:41:18.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",AEL-GM-18,approved,8122,"2023-06-30 06:35:17.000 +0000",1
"1943A60D-55B1-4331-84FC-8194EA6CF9D1",Yogesh,Kumar,"12@gmail.com",$2b$10$SUZesrp7H2Z2DAp.yA9lNOD5w4nA6ENF056bNPJAfnxAcZaMVjkJ.,$2b$10$SUZesrp7H2Z2DAp.yA9lNO,1,abu_spoc,,0,"2023-07-26 10:07:30.000 +0000","2023-07-26 10:07:42.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","12",approved,,,2
"613348B5-6119-47BE-B60E-8BD1BBF607E7",Jon,Doe,abu.spoc@gmail.com,$2b$10$KcT31XbRhGMcFH6RZzVAOO4bGaZChVoG3SW0Ypr.bT2IiRHO4.382,$2b$10$KcT31XbRhGMcFH6RZzVAOO,0,abu_spoc,,1,,"2023-06-22 12:37:21.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,approved,,,
"2B8DAFC8-6C96-406C-9088-A473BDCAECE7",Jon,Doe,le.spoc@gmail.com,$2b$10$bTTiYC5aaIHySf4zbqmjE.1UCRmFmBCLSH4.BkaDtb1g0ClvyetJ2,$2b$10$bTTiYC5aaIHySf4zbqmjE.,0,le_spoc,,1,,"2023-07-27 05:26:39.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",AEL-GM-1,approved,3785,"2023-06-30 06:39:34.000 +0000",2
"6C1068B2-633B-4E98-98CC-A582E180B629",test,test,testt@gmail.com,$2b$10$D3AD2i118Z0ndQqLyYTtfOJgWwxbnI1VzjgwEDczn5JK47G942u4y,$2b$10$D3AD2i118Z0ndQqLyYTtfO,1,abu_eng,,0,"2023-07-13 10:36:02.000 +0000","2023-07-26 08:59:44.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,pending,,,1
"8EA90E48-0DE5-4ECD-B249-A6E1DCB0C801",Yogesh,Kumar,le.dh@gmail.com,$2b$10$7z80hpjzDpdZimveLShSFu8QVKJdxTGY.gXryQKfja0Mh9UMGwOEu,$2b$10$7z80hpjzDpdZimveLShSFu,0,le_dh,,0,"2023-06-26 11:11:51.000 +0000","2023-07-27 04:53:29.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",sd,approved,,,2
"047973C3-EA5E-45F3-83FA-AA041B6A5B4B",Yogesh,Kumar,yosgesh@gmail.com,$2b$10$XVe6RidJiAmwFco2V31E0uFCC5WmljhxvA8vzQxGLVWzUHwBbCrV6,$2b$10$XVe6RidJiAmwFco2V31E0u,1,le_spoc,,0,"2023-07-14 15:59:13.000 +0000","2023-07-17 11:03:39.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,approved,,,2
"8EF7FA44-E7AA-4AAC-AE40-B2D791875CC4",Abu,User,abu.eng@gmail.com,$2b$10$KcT31XbRhGMcFH6RZzVAOO4bGaZChVoG3SW0Ypr.bT2IiRHO4.382,$2b$10$KcT31XbRhGMcFH6RZzVAOO,0,abu_eng,,1,,"2023-06-22 10:21:00.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",,approved,,,
B4C8B72E-8F8F-4260-9494-B57BCF5755EA,teting,est,testtt@gmail.com,$2b$10$LEFyCtLXJGmueL/IB/siYuyrg3dFrMvF9cCpnOqBcXHoIjk6th6pm,$2b$10$LEFyCtLXJGmueL/IB/siYu,1,le_spoc,,0,"2023-07-17 10:45:47.000 +0000","2023-07-17 11:03:21.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","123",approved,,,5
D6BF293C-B25A-4CB2-B448-B7DB7400E0DF,Vikas,Shah,vikas.shah@gmail.com,$2b$10$QdH1Idd74w11jkG0ZWznbOqlHa7R35SgX6YFO/O0KyyHOg8pycjuO,$2b$10$QdH1Idd74w11jkG0ZWznbO,0,le_spoc,,0,"2023-07-27 12:25:41.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",,"57834",approved,,,3
"37A5EC14-D8D0-4FD2-8E5B-BA4883129C2C",Test,Test,test@gmail.com,$2b$10$uN14eNPWvldIkuKPYyZEMur21TyLw1FPyDOus4zaqFi56a8K8iPFW,$2b$10$uN14eNPWvldIkuKPYyZEMu,0,le_spoc,,0,"2023-07-26 13:12:48.000 +0000","2023-07-26 16:18:24.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","123",approved,,,1
CBDC3D1F-BE3E-451B-B859-BAF9E47B1B7C,Yogesh,Kumarfd,sd@gmail.com,$2b$10$T25eWlK3wnkvFHcVc.6p/.s8GFGGnF6mcjVPlib.N0NnwNOH7Oho2,$2b$10$T25eWlK3wnkvFHcVc.6p/.,1,le_m,,0,"2023-07-26 09:59:29.000 +0000","2023-07-26 10:04:00.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",sdf,approved,,,2
F8915091-7BEE-4CC7-858E-BC827E182436,Yogesh,Kumar,tes@gmail.com,$2b$10$RihLXAcqzr.S8HTfer8bCuApb3ljVGpURluFSUcXIiIds0Uz.qjBG,$2b$10$RihLXAcqzr.S8HTfer8bCu,1,le_spoc,,0,"2023-07-17 10:43:55.000 +0000","2023-07-17 11:03:31.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",df,approved,,,3
C8EC37BD-E33D-4286-9115-CA79AF41EE48,Yogesh,Kumar,sjon@gmail.com,$2b$10$JLBiyNjmQCbUKVrGDeUcqumqDzgNKeHdASORf35L6wtlCHXnAwj4i,$2b$10$JLBiyNjmQCbUKVrGDeUcqu,1,,,0,"2023-06-22 13:46:57.000 +0000","2023-06-22 13:48:11.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",ABU-78,pending,,,
"23C03D58-7C7C-48C4-AB2A-CFF35F372AB3",Yogesh,Kumar,jons@gmail.com,$2b$10$wl2vIMfunOhF5T.2HIry3eH2RtmxwwozR03c07wvc4Wv0T48C0EES,$2b$10$wl2vIMfunOhF5T.2HIry3e,1,le_spoc,,0,"2023-06-26 11:13:18.000 +0000","2023-06-26 11:13:27.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",sd,approved,,,
"0D743C80-61DA-4B71-BD5D-CFF63AF4C320",Yogesh,Kumar,test@gmail.com,$2b$10$3miakAQgRuenClAfhlLhZeDyRsXbbyTQw5VAFEob64r9WOBmjD80.,$2b$10$3miakAQgRuenClAfhlLhZe,1,le_m,,0,"2023-07-26 09:58:20.000 +0000","2023-07-26 09:58:56.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","123",approved,,,1
"59C780A9-81CC-479D-A8D7-D38F03771C4C",Yogesh,Kumar,josn@gmail.com,$2b$10$o7ub2tO/EeX1wHf.8fdsDeZMcn5HUBF5joifE57i64LhjaZ1ZZcgm,$2b$10$o7ub2tO/EeX1wHf.8fdsDe,1,,,0,"2023-06-23 04:54:05.000 +0000","2023-06-23 04:55:10.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","5465556",pending,,,
"7C96BC46-50A9-422D-A481-F250332317C8",Yogesh,Kumar,joasn@gmail.com,$2b$10$oZlheitiOWm87btWR/9bhuzBWFZqOLQaCHQcjgiGCFBXGIzfTAY3O,$2b$10$oZlheitiOWm87btWR/9bhu,1,abu_spoc,,0,"2023-06-26 11:55:47.000 +0000","2023-06-26 11:56:07.000 +0000","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83",sa,approved,,,
"34EB5AA4-7CCC-4748-8FCE-F4112D5611E4",test,users,testuser@gmail.com,$2b$10$0bronvaRoeZ0yeOMcx590u9PRqM67beGhuGvR6ogZbvZ4HUdMwNb6,$2b$10$0bronvaRoeZ0yeOMcx590u,1,le_spoc,,0,"2023-07-13 10:27:18.000 +0000","2023-07-26 09:47:28.000 +0000",,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","123",pending,,,6
